"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"Switzerland","Switzerland","Switzerland","Male","Social Science / Humanities","Switzerland","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",37,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","0","0","30","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Somewhat important","Can't comment","Not at all important","Not at all important","0","100","0","0","0",NA,NA,NA,NA,NA,"","","Decreased","Can't comment","Can't comment","",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","","","High Income"
"Poland","Poland","Poland","Female","Social Science / Humanities","Poland","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",38,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","0","0","0","1-3","0","0","","","50","","","Somewhat important","Somewhat important","Quite important","Quite important",NA,NA,NA,NA,NA,"0","40","60","0","0","","","Decreased","Increased","Increased","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will increase slightly","","","","High Income"
"Turkey","Turkey","Turkey","Female","Social Science / Humanities","Turkey","","Senior academic researcher with >10 years of experience applying for research grants",39,"developing","100",NA,"10",NA,"70",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","0","1-3","0","0","0","0","10","10","0","0","0","Somewhat important","Somewhat important","Not very important","Not very important","10","30","60","0","0","10","20","40","10","20","","","Stayed the same","Stayed the same","Increased","",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will stay the same","","","","Higher Middle Income"
"Spain","South Africa","Spain","Male","Social Science / Humanities","South Africa","2014","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",40,"developing","100",NA,"0",NA,"0",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Can't comment","Can't comment","10","20","70","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,1,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will increase considerably","","These are just a guess from me.","","Higher Middle Income"
"","Ghana","","Male","Medicine and Life Science","Ghana","2009","Senior academic researcher with >10 years of experience applying for research grants",41,"developing","20",NA,"40",NA,"40",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","1-3","0","4-6","1-3","10","10","No need for applications for this research type","10","10","No need for applications for this research type","Quite important","Somewhat important","Quite important","Quite important","0","0","20","80","0","0","0","30","70","0","","","Decreased","Decreased","Increased considerably","",1,NA,NA,1,"Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly","","","","Lower Middle Income"
"Norway","Germany","Norway","Male","Physical Science (eg. math, physics, chemistry, computer science)","Germany","2003","Senior academic researcher with >10 years of experience applying for research grants",42,"developed","10",NA,"70",NA,"20",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","13-15","4-6","1-3","4-6","0","80","80","100","90","100","100","Quite important","Somewhat important","Quite important","Somewhat important","10","70","10","10","0","10","80","10","0","0","","","Stayed the same","Increased","Increased","",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same","For EU funding more applied work at higher technology readiness levels has become increasingly important.","","","High Income"
"South Africa","South Africa","South Africa","Female","Natural Science","South Africa","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",43,"developing","0","0","80","100","20","0","Yes",1,NA,NA,1,NA,"","Slightly positive","Some partnership","No partnership","Yes",1,NA,NA,NA,NA,"","Very positive","0","7-9","1-3","0","1-3","0","50","0","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","Quite important","Somewhat important","Somewhat important","Not very important","0","70","30","0","0","0","0","50","50","0","","","Decreased considerably","Increased","Increased considerably","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will increase slightly","","","We suffer from a focus on student bursaries without project running costs support and a lack of support for mid career scientists. It is also difficult to justify staying for a PhD when student can earn significant money outside academia with a Masters. I'm not sure types of funds will influence growth in research as much as the lack of clear and successful job opportunities in academia.","Higher Middle Income"
"Portugal","Portugal","Portugal","Male","Physical Science (eg. math, physics, chemistry, computer science)","Portugal","1997","Senior academic researcher with >10 years of experience applying for research grants",44,"developed","0","0","60","80","40","20","Yes",NA,NA,NA,1,NA,"","Slightly positive","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","7-9","4-6","1-3","10-12","4-6","80","60","40","80","60","40","Very important","Very important","Somewhat important","Somewhat important","0","90","0","10","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Decreased considerably","Decreased","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly","","","","High Income"
"Malaysia","Malaysia","Malaysia","Female","Medicine and Life Science","Malaysia","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",45,"developing","20","0","20","30","60","60","Yes",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","7-9","1-3","1-3","7-9","30","60","10","10","60","30","Very important","Mandatory","Somewhat important","Quite important","0","20","70","10","0","10","40","50","0","0","","","Decreased","Decreased","Increased","",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will increase considerably","Will decrease slightly","","","","Higher Middle Income"
"Illinois","United States","United States","Male","Engineering","United States","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",46,"developed","50",NA,"20",NA,"30",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","16+","16+","16+","0","0","0","0","10","10","","","","Very important","","Somewhat important","","10","40","50","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,NA,"Will stay the same","Will stay the same","Will stay the same","","","","","High Income"
"","Australia","","Female","Social Science / Humanities","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",47,"developed","30",NA,"30",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","Strong partnership","","No",NA,NA,NA,NA,NA,"","","1-3","0","1-3","1-3","0","0","No need for applications for this research type","70","70","No need for applications for this research type","No need for applications for this research type","50","Very important","Very important","Quite important","Quite important","0","40","30","30","0","0","0","0","100","0","","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","","","Not sure how it will develop","","High Income"
"Netherlands","Netherlands","Netherlands","Male","Medicine and Life Science","Netherlands","2004","Non-academic researcher conducting or managing research in industry or government with >10 years of experience",48,"developed","63.6363636363636","72.7272727272727","0","9.09090909090909","27.2727272727273","18.1818181818182","Yes",1,1,NA,NA,NA,"","Neutral","Strong partnership","Some partnership","Yes",1,NA,NA,1,NA,"","Very positive","0","0","0","1-3","0","0","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","30","Can't comment","Can't comment","Quite important","Can't comment","0","50","0","50","0",NA,NA,NA,NA,NA,"","","Decreased","Increased","Stayed the same","",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","","","High Income"
"Netherlands","Netherlands","Netherlands","Male","Physical Science (eg. math, physics, chemistry, computer science)","Netherlands","2003","Senior academic researcher with >10 years of experience applying for research grants",49,"developed","30","20","30","40","40","40","Yes",1,NA,NA,1,NA,"","Slightly positive","Strong partnership","Strong partnership","Yes",1,NA,1,1,NA,"","Very positive","4-6","1-3","4-6","1-3","1-3","1-3","40","80","100","30","50","50","Quite important","Quite important","Quite important","Somewhat important","0","40","40","20","0","30","40","30","0","0","","","Decreased considerably","Decreased","Stayed the same","",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same","Netherlands: topsector policy.","","Younger generations (presently in post-phd to  mid career transition ) have other moral/feelings to aquiring funding than both older (parting) and younger (current MSc, PhD trainee) generations. - At least I feel so - recommendation: try to split 'medior/senior' respondees in more than two groups please in your analysis ","High Income"
