"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","0%","50%","50%","Yes","10%","50%","30%",1,NA,1,NA,NA,"","Neutral","Strong partnership","Yes","Strong partnership",1,NA,NA,1,NA,"","Slightly positive","3-Jan","9-Jul","6-Apr","3-Jan","9-Jul","6-Apr","50%","50%","70%","50%","60%","50%","Very important","Very important","Mandatory","Quite important","0%","50%","50%","","","","0%","80%","20%","","","","Can't comment","Stayed the same","Increased","Very important",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Will stay the same","","Interdisciplinary Science","1997","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","70%","20%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","","3-Jan","9-Jul","","3-Jan","50%","","90%","50%","","90%","Quite important","Quite important","Quite important","Somewhat important","10%","80%","0%","10%","","","0%","80%","","0%","","","Decreased","Decreased","Stayed the same","Somewhat important",NA,1,NA,NA,"","Will stay the same","Will stay the same","Will stay the same","Will decrease slightly","","Natural Science","1982","Canada","Female","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","0%","20%","80%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","0","0","12-Oct","0","0","13-15","No need for applications for this research type","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","50%","Mandatory","Mandatory","Mandatory","Mandatory","0%","50%","50%","0%","0%","","New researcher (no funding in these years)","50%","50%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Stayed the same","Stayed the same","Decreased","Not very important",NA,NA,NA,1,"","Will stay the same","Will stay the same","Will stay the same","Will decrease slightly","Academia as a whole in Canada is struggling.  The biggest challenge for attracting the next generation is the meaningless games that must be played to secure a position and to secure funding.  Publication counts, journal impact factors and things like H-index all measure things that don't matter.  We struggle to recognize, reward and encourage genuinely high quality research whether it is fundamental in character or highly applied.  ","Engineering","1992","Canada","Male","Engineering should be fundamentally pursuing applied research as a substantial (if not dominant) part of our R&D role.  Academic Engineering suffers from the inverse problem that Science is concerned with -- engineers are asked for ""advances to the field"" and work suitable for ""discovery"" style journals.  This contorts academic engineering to be very science (or engineering science) heavy and it is not a positive contortion. Forcing scientists to pursue applied research is an equal negative contortion.   Let scientists be scientists and engineers be engineers.  Learn to collaborate across this discipline divide, respect the essential role for both and advance fundamental research and applied research in tandem.  ","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","12-Oct","","","9-Jul","","","50%","","","70%","","","Not at all important","Not at all important","Not at all important","Not at all important","20%","80%","0%","0%","0%","","10%","90%","","","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"Before the change in the federal government in 2015 the focus from the previous decade was largely on use and applied research at the expense of fundamental research. It seems that the current government led by PM Trudeau and Minister of Science Dr. Duncan is starting to re-balance this.","Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly","","Natural Science","2004","Canada","Male","I have recently returned to Canada (2015) as a faculty member after being a faculty member (and a post-doc before that) in the US from 2004-2014.","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","60%","0%","40%","Yes","100%","0%","0%",1,NA,NA,1,NA,"","Very positive","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","6-Apr","3-Jan","0","3-Jan","70%","No need for applications for this research type","20%","70%","No need for applications for this research type","20%","Somewhat important","Somewhat important","Somewhat important","Somewhat important","10%","80%","0%","20%","","","10%","90%","New researcher (no funding in these years)","10%","","","Decreased","Can't comment","Increased","Very important",NA,1,1,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same","","Natural Science","1993","Canada","Female","","Canada"
"Complete","Nova Scotia","Senior academic researcher with > 10 years of experience applying for research grants","30%","70%","70%","Yes","50%","50%","0%",NA,NA,1,1,NA,"","Neutral","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","0","50%","30%","20%","60%","40%","No need for applications for this research type","Mandatory","Somewhat important","Mandatory","Not very important","","50%","50%","","","","20%","80%","","","","","Decreased considerably","Stayed the same","Increased considerably","Not at all important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase considerably","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","2002","Canada","","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","20%","20%","60%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Very positive","3-Jan","3-Jan","6-Apr","3-Jan","3-Jan","3-Jan","90%","40%","30%","90%","40%","30%","Mandatory","Very important","Quite important","Somewhat important","10%","60%","30%","","","","10%","70%","20%","","","","Decreased","Increased","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will stay the same","","Natural Science","1990","Canada","Other","gender not completed.  ","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","0","0","0","3-Jan","0","0","0%","No need for applications for this research type","No need for applications for this research type","10%","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Can't comment","Not very important",NA,NA,NA,1,"","Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","","Canada","Male","","Canada"
"Complete","New Brunswick","Senior academic researcher with > 10 years of experience applying for research grants","90%","10%","10%","Yes","100%","0%","0%",1,NA,1,NA,NA,"","Neutral","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","0","6-Apr","0","0","70%","No need for applications for this research type","","100%","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Quite important","Somewhat important","0%","100%","0%","0%","0%","","10%","90%","0%","0%","0%","","Decreased considerably","Can't comment","Increased considerably","Very important",NA,NA,1,NA,"","","","","","","Natural Science","2006","Canada","Female","","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","0","0","6-Apr","0","0","80%","No need for applications for this research type","No need for applications for this research type","70%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Not at all important","Not at all important","0%","100%","0%","0%","0%","","20%","80%","0%","0%","0%","","Decreased","Stayed the same","Increased","Not very important",NA,NA,1,NA,"Switch away from fundamental research to applied, commercial research.","Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1996","Canada","Male","","Canada"
