"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",200,"percent_Use_inspired_Research_current",35
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_Use_inspired_Research_current",25
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Spain","Spain","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Spain","Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",70
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",110,"percent_Use_inspired_Research_current",36.3636363636364
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",0
