"Location","Country","Country_work","gender","what_participant_group","field_research","changed_10yrs","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other"
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,1,NA,NA
"Iceland","Iceland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"New Zealand","New Zealand","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",NA,NA,NA,NA,NA
"New Zealand","New Zealand","","","","","",NA,NA,NA,NA,NA
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"India","India","","","","","",NA,NA,NA,NA,NA
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,NA,NA,1
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,1,NA
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,1,1,NA
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"France","France","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,NA,NA,NA
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,1,NA
"Romania","Romania","","","","","No",NA,NA,NA,NA,NA
"India","India","","","","","",NA,NA,NA,NA,NA
"India","India","","","","","",NA,NA,NA,NA,NA
"India","India","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"New Zealand","New Zealand","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Morocco","Morocco","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,NA,NA,NA
"India","India","","","","","",NA,NA,NA,NA,NA
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"India","India","","","","","",NA,NA,NA,NA,NA
"Malta","Malta","","","","","",NA,NA,NA,NA,NA
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
